k,fulltrj,resampling0,resampling8,resampling4,resampling5,resampling7,resampling3,resampling6,resampling2,resampling1,resampling9,mean_resamplings,median_resamplings,min_resamplings,max_resamplings,std_resamplings,sem_resamplings
3,27,25,29,29,26,26,28,26,24,22,29,26.4,26.0,22,29,2.3664319132398464,0.7483314773547882
4,22,23,23,22,22,25,24,24,24,24,23,23.4,23.5,22,25,0.9660917830792959,0.3055050463303893
5,18,17,16,16,17,15,16,15,16,16,16,16.0,16.0,15,17,0.6666666666666666,0.21081851067789192
6,5,6,6,7,6,5,7,6,7,7,6,6.3,6.0,5,7,0.6749485577105528,0.21343747458109494
