k,fulltrj,resampling0,resampling8,resampling4,resampling5,resampling7,resampling3,resampling6,resampling2,resampling1,resampling9,mean_resamplings,median_resamplings,min_resamplings,max_resamplings,std_resamplings,sem_resamplings
3,29,31,30,30,31,29,28,31,30,30,28,29.8,30.0,28,31,1.1352924243950933,0.3590109871423002
4,30,27,32,28,29,32,30,27,28,28,32,29.3,28.5,27,32,2.057506581601462,0.6506407098647712
5,23,24,23,25,20,19,22,26,22,22,23,22.6,22.5,19,26,2.1186998109427604,0.669991708074726
6,20,21,21,19,25,24,21,19,22,22,22,21.6,21.5,19,25,1.8973665961010275,0.5999999999999999
7,12,10,8,12,9,9,12,11,11,11,8,10.1,10.5,8,12,1.5238839267549946,0.4818944098266986
8,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1,1,0.0,0.0
