k,fulltrj,resampling0,resampling8,resampling4,resampling5,resampling7,resampling3,resampling6,resampling2,resampling1,resampling9,mean_resamplings,median_resamplings,min_resamplings,max_resamplings,std_resamplings,sem_resamplings
3,27,25,27,28,27,26,27,27,28,26,27,26.8,27.0,25,28,0.9189365834726816,0.29059326290271154
4,24,26,26,24,24,24,27,24,24,24,23,24.6,24.0,23,27,1.2649110640673518,0.39999999999999997
5,18,15,17,17,18,20,14,18,17,17,20,17.3,17.0,14,20,1.888562063228706,0.5972157622389639
6,7,8,6,9,8,5,9,8,9,9,6,7.7,8.0,5,9,1.4944341180973264,0.47258156262526085
7,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2,2,0.0,0.0
