k,fulltrj,resampling0,resampling8,resampling4,resampling5,resampling7,resampling3,resampling6,resampling2,resampling1,resampling9,mean_resamplings,median_resamplings,min_resamplings,max_resamplings,std_resamplings,sem_resamplings
3,35,32,32,32,32,32,34,33,34,32,29,32.2,32.0,29,34,1.398411797560202,0.44221663871405326
4,29,28,32,29,30,32,29,30,28,28,34,30.0,29.5,28,34,2.0548046676563256,0.6497862896539309
5,23,21,22,23,23,23,23,23,21,21,23,22.3,23.0,21,23,0.9486832980505138,0.3
6,18,21,18,19,19,17,18,19,21,21,18,19.1,19.0,17,21,1.449137674618944,0.458257569495584
7,7,7,6,7,7,7,7,7,7,7,6,6.8,7.0,6,7,0.42163702135578385,0.13333333333333333
