k,fulltrj,resampling0,resampling8,resampling4,resampling5,resampling7,resampling3,resampling6,resampling2,resampling1,resampling9,mean_resamplings,median_resamplings,min_resamplings,max_resamplings,std_resamplings,sem_resamplings
3,32,29,31,34,33,31,32,32,32,32,32,31.8,32.0,29,34,1.3165611772087666,0.41633319989322654
4,21,21,22,21,22,22,22,24,21,21,22,21.8,22.0,21,24,0.9189365834726815,0.29059326290271154
5,19,20,21,18,19,21,18,18,19,20,20,19.4,19.5,18,21,1.1737877907772671,0.3711842908553347
6,11,11,10,12,11,9,13,11,12,12,10,11.1,11.0,9,13,1.1972189997378646,0.3785938897200182
7,5,5,3,5,5,4,4,4,5,4,4,4.3,4.0,3,5,0.6749485577105528,0.21343747458109494
